protein1 protein2 combined_score
0 5 1
0 10 1
0 19 1
1 3 1
1 12 1
1 18 1
1 15 1
1 11 1
1 14 1
1 4 1
1 7 1
1 19 1
2 11 1
2 14 1
2 4 1
2 7 1
2 18 1
3 7 1
3 10 1
3 13 1
3 9 1
3 6 1
3 8 1
4 6 1
4 12 1
4 5 1
4 8 1
4 11 1
4 17 1
4 16 1
4 13 1
5 13 1
5 10 1
5 19 1
5 6 1
5 12 1
5 17 1
6 12 1
6 15 1
6 17 1
6 7 1
6 19 1
7 10 1
7 8 1
8 17 1
8 19 1
9 17 1
9 10 1
9 16 1
9 19 1
9 15 1
10 18 1
10 11 1
11 17 1
11 13 1
11 18 1
12 15 1
12 14 1
13 14 1
13 16 1
13 19 1
13 18 1
13 15 1
14 16 1
15 17 1
15 16 1
15 19 1
16 17 1
16 18 1
17 18 1
